brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
"Poke And Co, Jumeirah Lakes Towers","['Healthy', 'Breakfast', 'Cafe']",Very good,48,5,10,False
"Rawabina Restaurant & Sweets , Um Al Sheif",['Arabic'],OK,45,5,35,False
MAC EDITION - Mac N Cheese,"['American', 'Fast', 'Food']",Good,42,0,0,False
Ola Mexican Grill,"['Mexican', 'Vegetarian']",NA,48,3,10,True
Kanji by 3Fils,"['Asian', 'Healthy', 'Japanese']",OK,48,3,10,False
Oreo Ice Cream,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",Very good,43,5,10,False
Pizza Ibiza,"['Italian', 'Pizza']",Good,50,5,0,False
Sweet Stuff,"['Specialty', 'Store', 'Cakes', 'Desserts', 'Desserts']",Good,41,7,10,False
Rock House Sliders,"['American', 'Burgers', 'Sandwiches']",Very good,41,7,10,False
Avo And Co,"['Breakfast', 'Desserts', 'Healthy']",Very good,50,5,10,False
"Krispy Kreme, Meadows,Meadows","['Cafe', 'Desserts']",Very good,38,7,10,False
Spada Cafe,"['American', 'Cafe']",OK,44,3,10,False
"Papa John's, Jumeirah Lake Towers","['American', 'Pizza']",Very good,45,5,10,False
"The Yellow Chilli, Jumeirah Lakes Towers","['Indian', 'Pakistani', 'Grills']",Good,48,5,10,False
"Urban Seafood, Jumeirah Beach Residence","['Seafood', 'International', 'Healthy']",Good,45,5,0,False
Greek & Delicious,['International'],Very good,47,5,10,False
Iran Zamin,"['Iranian', 'Grills']",Good,45,7,10,False
Baba Mahmoud,"['Cafe', 'Healthy', 'Breakfast']",Amazing,45,7,10,False
Black Bread Bakery,"['Specialty', 'Store', 'Bakery']",NA,47,5,10,True
WOFL,"['Desserts', 'Sandwiches']",Good,35,3,20,False
Looshi's,"['Specialty', 'Store', 'Bakery', 'Desserts']",Very good,44,3,10,False
Uncle Sam's Burgers,"['American', 'Burgers', 'Fast', 'Food']",NA,47,7,10,True
"Dessertino Shakes and More, Jumeirah Lakes Towers - JLT","['Desserts', 'Beverages', 'American']",Very good,43,7,0,False
The Monk,"['Chinese', 'Thai', 'Fried', 'Chicken']",Very good,46,7,10,False
Caribou Coffee,"['American', 'Cafe', 'Beverages']",Amazing,40,7,10,False
Pizza Pazza Restaurant,['Pizza'],Very good,45,5,10,False
WEST WING,"['Wings', 'Fried', 'Chicken']",Good,51,0,10,False
Ben & Jerry Ice cream,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",Good,39,5,10,False
WALL`s Ice Cream Shop,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",Very good,43,7,10,False
Taco Eataco,"['Mexican', 'Bowls', 'Healthy']",Very good,45,7,10,False
Cafe Society,"['Cafe', 'International']",Very good,49,5,10,False
The Biryani Life,"['Indian', 'Arabic', 'Grills']",Good,47,5,10,False
HUMMUS & MORE,"['Healthy', 'Vegetarian']",Good,41,0,0,False
"Chalet Grill Plus Restaurant (Ready Meal Kit), Al Barsha 1,Al Barsha 1",['Arabic'],NA,45,5,50,False
Saigon Ethnic Viet Food,"['Asian', 'Chinese', 'Thai']",Amazing,45,3,10,False
Rails JLT,"['Burgers', 'Fast', 'Food', 'Pizza']",Very good,46,3,10,False
BinSina Pharmacy,['Pharmacy'],Very good,41,7,10,False
THE UNDERDOG,"['American', 'Fast', 'Food', 'Hot', 'Dogs']",Very good,40,0,0,False
Messy Burger,"['Burgers', 'Sandwiches', 'Snacks']",NA,44,5,10,False
Deniro Italian Restaurant,"['Italian', 'Pizza']",NA,44,5,10,True
Defne Turkish Restaurant,"['Grills', 'Turkish', 'Shawarma', 'Doner']",Very good,45,6,35,False
The Cookie Bandits,"['Specialty', 'Store', 'Cakes', 'Desserts']",NA,45,7,10,False
Costa Coffee at Home,"['Specialty', 'Store', 'Roastery']",NA,45,7,10,False
"Asian Wok, Jumeirah Lakes Towers - JLT","['Chinese', 'Thai', 'Asian']",Very good,50,3,10,False
Simitchi Turkish Gourmet,"['Turkish', 'Shawarma', 'Doner', 'Grills']",Very good,43,7,10,False
Indiana Delights,"['Indian', 'Vegetarian', 'Chinese']",Good,40,0,20,False
Tabkhetna,"['Arabic', 'Desserts']",NA,47,5,10,True
Shiro Sushi Wok,['Japanese'],Very good,43,7,10,False
Luxury Ice Cream Tubs,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",Very good,40,7,10,False
Chocolala,"['Specialty', 'Store', 'Cakes', 'Desserts']",Very good,45,7,10,False
Lotsa! Lazy Cake,"['Specialty', 'Store', 'Bakery', 'Cakes', 'Desserts']",Good,43,7,10,False
Indian Food Company,"['Indian', 'Vegetarian', 'Grills']",Very good,51,3,10,False
Acai and Co,['Healthy'],Very good,48,5,10,False
"Mambo Gourmet Pizza, Jumeirah Lakes Towers - JLT","['Pizza', 'Sandwiches', 'Italian']",Very good,50,0,0,False
Noodle Fusion,"['Asian', 'Chinese']",Very good,49,5,10,False
STUDEX,"['Specialty', 'Store']",Amazing,47,3,10,False
Sirwah Mandi & Mazbi Restaurant,['Arabic'],Good,47,7,10,False
Xsliders,"['Sandwiches', 'American', 'Burgers']",Good,45,7,10,False
Rogue Coffee,"['Beverages', 'Breakfast', 'Desserts']",Good,43,7,10,False
MUMUSO,"['Specialty', 'Store', 'Stationery']",Amazing,43,7,10,False
Tsunami,"['Asian', 'Healthy', 'Seafood']",Very good,46,5,10,False
Arabica,"['Bakery', 'Cakes', 'Cafe', 'Beverages']",Very good,42,7,10,False
"The Green Fridge, Jumeirah Lakes Towers","['Healthy', 'Salads', 'Wraps']",Very good,45,5,10,False
Hoa Poke by 3Fils,"['Asian', 'Healthy', 'Japanese']",Good,49,5,10,False
Burger.Eat,"['American', 'Burgers']",NA,48,3,10,False
"Sushi Your Way, Ibn Batutta Mall","['Japanese', 'Seafood', 'Asian']",Very good,53,5,10,False
Noble Chicken,"['American', 'Burgers', 'Sandwiches']",Good,46,7,10,False
This is Hot Dog,"['Sandwiches', 'Burgers', 'Fast', 'Food']",Very good,47,5,10,False
Just Salad,"['Healthy', 'Salads']",Amazing,48,7,10,True
BRAVO AVOCADO,"['Healthy', 'Salads', 'Smoothies']",Very good,41,0,0,False
Mama Yuris Original Mexican Cuisine,"['Mexican', 'International', 'Grills']",Good,44,5,10,False
Bakemart Gourmet,['Desserts'],Very good,46,7,10,False
ChixFix,"['Burgers', 'Fast', 'Food', 'Fried', 'Chicken']",Very good,52,0,10,False
Salad_Up,['Healthy'],Very good,46,7,10,False
Pokeman Restaurant,"['Bowls', 'Healthy', 'Seafood']",Very good,46,7,10,False
Wings Factory,['American'],Good,46,7,10,False
800PIZZA Market,"['Specialty', 'Store']",Very good,46,7,10,False
Lake Caffe & Restaurant,"['Breakfast', 'Italian', 'Pasta']",Very good,43,5,10,False
Mizu Restaurant,['Japanese'],Amazing,47,5,10,True
MAYA BLUE - Mexican,"['Mexican', 'Healthy']",Very good,43,0,0,False
