brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
Cluckers Wood Roasted Chicken Restaurant,"['International', 'Sandwiches']",Very good,50,1,0,False
"The Meat Avenue, JLT","['Lebanese', 'Sandwiches', 'Arabic']",Very good,46,5,10,False
"Hako Sushi, Jumeirah Lakes Towers","['Japanese', 'Seafood', 'Healthy']",Very good,51,5,10,False
SORP BUSINESS CAFE,"['Cafe', 'Healthy', 'Breakfast']",Very good,46,5,10,False
Cakes and Shakes,"['Desserts', 'Beverages']",NA,47,5,10,False
Salkara Restaurant,"['Indian', 'Seafood', 'Grills']",Good,48,7,10,False
"Highway311, Jumeirah Lakes Towers - JLT",['Mexican'],Very good,48,5,10,False
Health First Pharmacy,['Pharmacy'],Amazing,41,7,10,False
Al Jaber Optical,['Optical'],Good,37,7,10,False
Eats and Co,"['Breakfast', 'Healthy', 'International']",Good,51,5,10,False
"Wagamama, Jumeirah Beach Residence - JBR","['Japanese', 'Thai', 'Asian']",Good,46,7,10,False
Mezza Lebanese Kitchen,"['Lebanese', 'Grills', 'Healthy']",Very good,45,3,10,False
Shawarma Station,"['Shawarma', 'Doner', 'Lebanese', 'Sandwiches']",Good,47,7,10,False
Organic Press Juices,"['Specialty', 'Store', 'Beverages']",Very good,47,7,10,False
Bronson,"['International', 'Italian']",NA,47,7,10,False
Poke Mania,"['Salads', 'Healthy', 'Seafood']",NA,47,7,10,False
Beauty & The Beef,['American'],NA,47,7,10,True
Garden Tulip Flowers Trading L.L.C,['Flowers'],NA,35,7,10,True
"Wendy's, Ibn Batutta Mall","['Burgers', 'Sandwiches', 'American']",Very good,51,6,10,False
Novo Cinemas,"['Burgers', 'Sandwiches', 'Snacks']",Good,48,5,10,False
"Truck Adda Restaurant,  JLT","['Indian', 'Pakistani', 'Cafe']",Good,46,3,10,False
Baladi Butchery,"['Specialty', 'Store', 'Butchery']",Good,45,0,50,False
Piadera,"['Italian', 'Pizza', 'Wraps']",Good,51,5,10,False
Wise Kwai,"['Asian', 'Seafood', 'Thai']",Very good,52,7,10,False
Yalla Shawarma,"['Shawarma', 'Doner', 'Arabic']",Good,52,7,10,False
"PizzaExpress, Jumeirah Lakes Towers - JLT","['Italian', 'Pizza']",Good,46,3,10,False
Ananda Bhavan,"['Indian', 'Vegetarian', 'Breakfast']",Very good,46,3,10,False
Sushi Burrito by Ichiban,"['Asian', 'Healthy', 'Japanese']",OK,50,7,10,False
Mighty Quinn,"['American', 'Burgers', 'International']",Good,50,7,10,False
Pinza,"['Pizza', 'Vegetarian', 'Healthy']",Very good,45,7,0,False
"Makarem Restaurant, Al Barsha 3","['Arabic', 'Mandi']",Very good,51,7,10,False
Le Caire 1940,"['Grills', 'International', 'Arabic']",OK,46,7,10,True
"Popeyes Louisiana Kitchen Restaurant, Dubai Media City,Dubai Media City","['Sandwiches', 'American']",Very good,50,7,10,False
Chubby Cookies,"['Specialty', 'Store', 'Cakes', 'Desserts']",Good,47,7,10,False
Royal Orchid,"['Thai', 'Asian']",Very good,50,7,10,False
Shawarma Grill House,"['Shawarma', 'Doner', 'Sandwiches']",Very good,45,5,30,False
Pizzeria del Marco,"['Pizza', 'International', 'Italian']",Very good,51,3,10,False
Kaak Kaaaak,"['Lebanese', 'Arabic']",Good,47,3,10,False
Salad Bar,['Healthy'],OK,50,5,10,True
"NomNom Asia, Jumeirah Lakes Towers - JLT","['International', 'Asian', 'Chinese']",Good,47,3,10,False
Cluckrs,"['American', 'Fast', 'Food', 'Fried', 'Chicken']",OK,50,7,10,False
Tnagar Cafe,"['Indian', 'Vegetarian']",Very good,46,5,10,False
Latea,"['Healthy', 'Beverages']",Very good,50,7,10,False
"Doner Kebab, Jumeirah Lakes Towers","['Turkish', 'Shawarma', 'Doner']",Good,41,9,10,False
Bytez & More,"['Sandwiches', 'Cafe', 'Healthy']",Very good,53,5,10,False
Revo Cafe & Bar,"['Healthy', 'Bakery', 'Cakes', 'Cafe']",NA,53,5,10,False
Poke Poke,['Asian'],OK,43,7,10,False
"Yugo Restaurant, JLT","['Japanese', 'Seafood', 'Asian']",Very good,50,0,0,False
The Brooklyn Creamery,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",Good,43,5,10,False
"Pop City,Barsha Heights - TECOM","['Specialty', 'Store', 'Cakes', 'Desserts', 'Frozen', 'Yogurt']",Amazing,44,9,10,False
Lounge Cafe Italiano,"['Italian', 'Pizza', 'Breakfast']",Good,50,5,10,False
Bait Maryam,"['Arabic', 'Breakfast', 'Lebanese']",Very good,47,3,10,False
Sahelnom Restaurant,"['Lebanese', 'Arabic', 'Healthy']",Good,50,7,10,False
"Cafe Bateel, jumeirah Beach Residence - JBR","['Healthy', 'Bakery', 'Cakes', 'Breakfast']",Very good,49,7,10,False
Zafran,['Indian'],Very good,54,7,10,False
Orchestra Flowers,['Flowers'],Very good,35,9,10,False
TPH Lakwil,"['Asian', 'Seafood']",NA,47,7,10,False
Shree Anandhaas Vegetarian Restaurant,"['Indian', 'Vegetarian', 'International']",Good,49,5,10,False
Something Italian,"['Italian', 'Pasta', 'Soups']",Good,44,7,10,False
Galito's,"['Grills', 'International', 'Bowls']",Very good,55,0,20,False
Roc N Ramen,"['Asian', 'Japanese']",Very good,51,7,10,False
Poke Zone Restaurant,"['Bowls', 'Healthy', 'Japanese']",Good,44,7,10,False
IHOP,"['American', 'Breakfast', 'Desserts']",Very good,49,7,10,False
Bhai Kadai Biryani,['Indian'],Very good,44,7,10,False
Memsaab Curry & Tandoor,"['Indian', 'Pakistani', 'Asian']",Very good,46,5,10,False
Tossed & Toast - Salads & More,['Healthy'],Amazing,53,7,10,False
Chubby Crepes,"['Specialty', 'Store', 'Cakes', 'Desserts']",Good,44,7,10,False
Katrina Sweets & Confectionery,"['Specialty', 'Store', 'Cakes', 'Desserts']",Very good,50,7,50,False
Slider Box,"['Burgers', 'Sliders', 'American']",Good,55,5,10,False
"O'Doner, The Palm Jumeirah","['Turkish', 'Shawarma', 'Doner', 'Sandwiches']",Good,45,5,0,False
Shaikh Al Mandi Restaurant,"['Mandi', 'Arabic']",Very good,45,3,35,False
"Papa John's, Jumeirah Lake Towers","['American', 'Pizza']",Good,45,7,0,False
Eggiterian Cafe,"['Breakfast', 'Cafe', 'International']",NA,45,9,10,False
Asateer Sweets,"['Specialty', 'Store', 'Cakes', 'Desserts']",Very good,49,7,0,False
Ewhale.Co,['Cosmetics'],NA,49,7,0,False
FRYD: Fried Chicken,"['Fried', 'Chicken', 'American', 'Sandwiches']",Good,53,7,10,False
Barbecue Delights,"['International', 'Indian', 'Pakistani']",Good,50,7,10,False
"India Palace Restaurant, Jumeirah Beach Residence","['Indian', 'Seafood', 'Vegetarian']",Good,45,7,10,False
Soho Grill,"['American', 'Burgers', 'Cafe']",Very good,54,7,10,False
Alien Burger,"['Burgers', 'American']",Good,48,7,10,False
Big Jaws,"['Sandwiches', 'Salads', 'Bowls']",Very good,50,5,10,False
Yin & Yang Restaurant,"['Chinese', 'Seafood']",Very good,48,3,10,False
Million Pizza,"['Italian', 'Pizza', 'Sandwiches']",NA,48,7,10,False
Cold Stone Creamery,"['Desserts', 'Bakery', 'Cakes', 'Ice', 'Cream']",Very good,43,7,10,False
"Arabiska , The Palm Jumeirah","['Egyptian', 'Arabic', 'Sandwiches']",Very good,55,0,40,False
Top Picks,"['American', 'Burgers']",Good,51,7,10,False
Lotsa! Pasta - Oven Baked Pastas & Bowls,"['Pasta', 'Salads', 'Italian']",Good,50,7,10,False
Kababji Grill Restaurant,"['Lebanese', 'Sandwiches', 'Arabic']",Good,47,0,10,False
Pepper & Pine,"['Breakfast', 'Healthy']",Very good,52,7,10,False
Crazy Over Acai,"['Healthy', 'Desserts']",OK,45,3,10,False
Panchos,"['Mexican', 'International']",OK,51,5,10,False
Ibn Hamido,"['Egyptian', 'Seafood']",Good,60,5,50,False
Madrasi Food House,"['Indian', 'Vegetarian']",OK,38,5,10,False
Breaking Bread,"['Healthy', 'Sandwiches', 'Breakfast']",Very good,44,5,10,False
Vinays Fish & Chips,"['Grills', 'Seafood']",Very good,50,6,35,False
"Broccoli Pizza & Pasta, Barsha Heights - TECOM","['Pizza', 'Pasta', 'Italian']",Good,51,7,10,False
Breakfast Fix,"['Sandwiches', 'Breakfast', 'Desserts']",Very good,49,7,10,False
R-Burger,"['Burgers', 'American']",Good,52,7,10,False
Hummus Brothers,"['Healthy', 'Sandwiches', 'Arabic']",Very good,50,7,10,False
Moroc Lounge,"['Arabic', 'Fast', 'Food', 'Sandwiches']",Good,53,5,10,False
"Chimes, Jumeirah Lakes Towers - JLT","['Chinese', 'Thai', 'Vegetarian']",OK,46,5,10,False
Brasil Acai Por Luana,"['Healthy', 'Breakfast', 'Desserts']",Good,44,5,10,False
"Chalcos Mexican Grill, Jumeirah Lakes Towers","['Healthy', 'Mexican', 'Bowls']",Very good,42,3,10,False
Vapiano Restaurant,"['Italian', 'Pizza']",Very good,45,5,0,False
"Plant Power, Dubai Marina","['Healthy', 'Asian', 'Salads']",Very good,45,7,10,False
Spice Pot,"['Chinese', 'Indian', 'Asian']",Good,47,3,10,False
"Fuel Up by Kcal, Jumeirah Lakes Towers - JLT","['Breakfast', 'Healthy', 'Sandwiches']",Good,45,3,10,False
Charlies Hotdogs and Wings,"['American', 'Fast', 'Food', 'Sandwiches']",Very good,51,5,10,False
Burger And Beyond,"['American', 'Burgers', 'International']",Good,45,5,10,False
Potato Head,"['American', 'Burgers', 'Sandwiches']",Good,51,5,10,True
SOUP & SOUL,['Soups'],Very good,49,7,10,False
Lord of The Wings,"['Wings', 'American', 'Burgers']",Good,53,7,10,False
Mashrou3 Tabkha,"['Lebanese', 'Arabic', 'Healthy']",Very good,44,7,10,False
Mexican Kitchen,"['Mexican', 'International']",Good,53,5,10,False
Betty Bakes,"['Specialty', 'Store', 'Bakery', 'Desserts']",Good,60,0,0,False
ACAI XPRESS JLT,"['Breakfast', 'Healthy', 'Vegetarian']",Good,52,5,10,False
Craft Burger,"['Burgers', 'Sandwiches']",Very good,45,6,0,False
Mix It Up,"['Sandwiches', 'Burgers', 'Fast', 'Food']",OK,52,5,10,False
Al Mallah Cafeteria,"['Arabic', 'Breakfast', 'Lebanese']",Good,40,7,25,False
Qasioun Restaurant,"['Arabic', 'Shawarma', 'Doner']",Very good,52,7,10,False
YMI Taste,"['Desserts', 'Beverages', 'Chocolate']",Very good,50,5,50,False
Eggs & Co,"['Breakfast', 'Healthy']",OK,50,5,10,False
"Perfetto Acai, Jumeirah Lakes Towers - JLT",['Healthy'],Good,46,5,10,False
Cadourat And Funoon Promotional Gifts Preparing,['Flowers'],Very good,60,0,150,True
BBQ & Karahi Kitchen,"['Grills', 'Indian']",Good,51,5,10,False
"Texas Chicken, Meadows","['American', 'Burgers', 'Sandwiches']",Good,46,9,10,False
Dream City Cafeteria,"['Cafe', 'Breakfast']",Good,49,7,10,False
"Pizza Man, JLT, Jumeirah Lakes Towers - JLT","['Pizza', 'Fast', 'Food', 'Italian']",Very good,48,5,10,False
"Shake Shack, Jumeirah Beach Residence","['American', 'Burgers']",Very good,54,7,10,False
Wrapped,"['Healthy', 'Lebanese', 'Sandwiches']",Good,55,7,10,False
Medicina Pharmacy,['Pharmacy'],Very good,53,7,10,True
Just Vegan,"['Healthy', 'International']",Good,50,9,0,False
Yo Sushi,"['Japanese', 'Asian', 'Healthy']",OK,47,5,10,False
Desi Wings,"['American', 'Indian', 'Asian']",Good,45,6,0,False
Pink Mango Indian Kitchen,"['Indian', 'Grills', 'Healthy']",Very good,53,7,10,False
Crepe Crazy,['Desserts'],Very good,44,7,10,False
Indian Pavilion,['Indian'],Very good,55,6,50,False
Ard Jedoudna,"['Grills', 'Lebanese', 'Arabic']",Very good,52,7,10,False
"Subway, Jumeirah Park","['American', 'Sandwiches']",Very good,44,7,10,False
Yakitate,"['Japanese', 'Cafe']",Very good,51,7,0,True
Little Lahore,"['Pakistani', 'Vegetarian', 'Asian']",Good,48,5,10,False
Balqees Honey,"['Specialty', 'Store', 'Cakes', 'Desserts']",NA,52,7,10,False
Oriental Gastronome Restaurant,"['Chinese', 'International', 'Asian']",Very good,52,7,10,False
VegaBibi,"['Arabic', 'Sandwiches']",OK,52,7,10,False
Mac & Wings,"['American', 'Grills']",NA,52,7,10,False
Firas Sweet,"['Specialty', 'Store', 'Bakery']",NA,52,7,10,True
The Burger Fix,['Burgers'],OK,47,7,10,False
Seattle Best Coffee,"['Breakfast', 'Cafe']",Very good,48,7,0,False
"Hola Empanada, Jumeirah Lakes Towers","['Mexican', 'Pizza', 'Burgers']",Good,57,5,10,False
Doner Market Restaurant,"['Burgers', 'Pizza', 'Shawarma', 'Doner']",Good,45,7,10,False
Chillis,"['American', 'Burgers', 'Mexican']",Good,46,7,10,False
Meat Nation,"['Grills', 'Pizza', 'Sandwiches']",Very good,50,5,10,False
"NKD Pizza, Al Sufouh 2","['Italian', 'Pizza']",Good,55,7,10,False
Aroos Al Bahar Restaurant,['Seafood'],Good,47,7,10,False
Project Shawarma,"['Grills', 'Arabic', 'Shawarma', 'Doner']",OK,45,7,10,False
Back To Grills Restaurant And Cafe,"['American', 'Grills', 'Asian']",Good,45,6,0,False
Al Naseem,"['Arabic', 'Lebanese']",OK,48,7,10,False
Tea Break,"['Burgers', 'Sandwiches', 'Beverages']",Very good,43,5,10,False
Zafran Pot,"['Indian', 'Desserts', 'Grills']",Good,47,3,10,False
Yin & Yang Pizzeria,"['Pizza', 'Italian']",Very good,51,3,10,False
Cinnabon,"['Cafe', 'Desserts']",Very good,47,5,10,False
The Cheese Bun Spot,"['Breakfast', 'Healthy', 'Bowls']",OK,56,5,10,False
"Perfetto Salad,Jumeirah Lakes Towers - JLT","['Healthy', 'Salads']",Good,46,5,10,False
"Arabiska , The Palm Jumeirah","['Egyptian', 'Arabic', 'Sandwiches']",NA,55,0,40,False
ChapaTea World,"['Healthy', 'Sandwiches', 'Snacks']",OK,46,5,10,False
Al Dar Al Malaki Traditional Restaurant,['Arabic'],Very good,50,5,50,False
"Via Delhi Restaurant, Jumeirah Lakes Towers - JLT","['Indian', 'Breakfast', 'Chinese']",Very good,48,5,10,False
Salt Beef On Rye,"['Healthy', 'Sandwiches', 'Salads']",Very good,48,5,10,False
"Pasta 2 Go, Jumeirah Lakes Towers","['Italian', 'International', 'Desserts']",Good,47,3,10,False
The Roti Roll,"['Fast', 'Food', 'Indian', 'Pakistani']",NA,51,7,10,True
Zahra's Kitchen,"['Salads', 'Wraps']",NA,48,7,10,False
"India Palace Restaurant, Ibn Batutta Mall tmp","['Indian', 'Seafood', 'Vegetarian']",Good,55,5,50,False
Fresh Fruit Pops by Fruitful Day,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",Very good,46,9,10,False
Asia Tang,"['Asian', 'Chinese', 'Thai']",Very good,53,7,10,False
Gourmet By Cafe Bateel,"['Specialty', 'Store', 'Roastery']",OK,41,7,10,False
Pizza Sixteen,"['Italian', 'Pizza', 'Pasta']",Very good,45,6,50,False
Community Pharmacy,['Pharmacy'],NA,48,7,10,True
DELI SUSHI,"['Japanese', 'Seafood', 'Healthy']",Very good,55,6,40,False
"Subway, Dubai Internet City","['Healthy', 'Sandwiches', 'Breakfast']",Very good,44,7,10,False
Basatta,"['Arabic', 'Shawarma', 'Doner', 'Bowls']",Good,50,5,10,False
"Al Safadi Restaurant, Um Al Sheif","['International', 'Lebanese', 'Seafood']",Very good,60,5,50,False
Quesadilla Kitchen,"['Mexican', 'Sandwiches']",Good,53,5,10,False
"Noon & Kabab, IBN Batutta Mall","['Iranian', 'Arabic']",Very good,54,7,10,False
Tabkha,"['Arabic', 'Fast', 'Food', 'Grills']",OK,48,7,10,True
Maia  California Style Taqueria,['Mexican'],Good,52,7,10,False
Pappa Pizza,"['Italian', 'Pizza', 'International']",OK,47,5,10,False
"Kamat Vegetarian Restaurant, Dubai Internet City","['Indian', 'Vegetarian']",Good,47,7,10,False
Bebo's Bowls,"['Indian', 'Bowls', 'Healthy']",Very good,50,7,10,False
"Grillo The Healthier Option, Discovery Gardens","['American', 'Grills', 'Healthy']",Very good,53,7,10,False
Al Rozana,"['Arabic', 'Lebanese']",OK,50,7,10,False
Four Square Cafe & Restaurant,"['Indian', 'Lebanese', 'Arabic']",Very good,53,7,10,True
House Of Noodles,"['Chinese', 'Asian']",Very good,51,9,10,False
Movenpick Ice Cream,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",NA,55,7,10,True
Healthy and Co,"['Healthy', 'Vegetarian', 'Salads']",Good,51,5,10,False
Noor Al Mandi,"['Mandi', 'Arabic']",Good,25,6,50,False
GT Burger,"['American', 'Burgers', 'Hot', 'Dogs']",Amazing,51,9,10,False
Dickey's Barbecue Pit,"['American', 'Grills', 'Sandwiches']",Very good,43,7,10,False
Falafel Karim Sahyoun,"['Breakfast', 'Lebanese', 'Vegetarian']",OK,58,5,10,False
"Poke And Co , Jumeirah Lakes Towers","['Healthy', 'Breakfast', 'Cafe']",Very good,40,6,0,False
Dessert Cafe Be.K,"['Desserts', 'Cafe']",Amazing,59,7,10,False
Culinaire Restaurant & Cafe,"['Indian', 'Cafe', 'Chinese']",Very good,54,7,10,False
Awani Express,"['Lebanese', 'Sandwiches', 'Healthy']",Very good,53,7,10,False
CHICK MATE,"['Fast', 'Food', 'Fried', 'Chicken', 'Sliders']",Good,51,0,10,False
WingStop,"['Wings', 'American']",Very good,45,7,10,False
Double D's,"['Pizza', 'Italian']",Very good,66,5,10,False
Tawook Nation,"['Grills', 'Lebanese', 'Sandwiches']",Very good,51,7,10,False
Dubai Keto Desserts,"['Specialty', 'Store', 'Cakes', 'Desserts']",Very good,47,5,10,False
Gulf Pastry,"['Pizza', 'Breakfast', 'Lebanese']",Good,45,6,50,False
"Eat Greek Restaurant, JBR",['International'],Very good,52,7,10,False
Friend Fries,"['American', 'Burgers']",OK,48,5,10,False
Kris Kros Lebanon,"['Lebanese', 'Sandwiches', 'Arabic']",Very good,45,6,0,False
"Munchies-House of Popcorn, Desserts & More","['Desserts', 'Snacks', 'American']",OK,47,7,10,False
Charcoal Garden Restaurant & Cafe,"['Arabic', 'Lebanese', 'International']",Very good,52,7,10,False
Street Woks,"['Asian', 'Chinese', 'Thai']",Very good,56,7,10,False
The Butcher Shop & Grill,"['Grills', 'International', 'Burgers']",Very good,58,7,10,False
"Cafe Funkie Town, Jumeirah Lakes Towers","['Indian', 'Chinese', 'Grills']",Good,49,5,10,False
Beirut Bites,"['Arabic', 'Breakfast', 'Lebanese']",Very good,50,3,10,False
Alpys Cafe & Restaurant,"['Cafe', 'Mexican', 'Sandwiches']",Good,52,7,10,False
GORILLA BURGER,"['Burgers', 'Fast', 'Food']",Good,51,0,10,False
Bowls R Us,"['Healthy', 'Seafood']",OK,50,5,10,False
UBK - Urban Bar & Kitchen,"['Burgers', 'Mexican', 'International']",Good,54,5,0,False
EETEN,"['Burgers', 'Sandwiches', 'Salads']",Good,55,7,10,False
By The Chick,"['American', 'Fast', 'Food']",NA,55,7,10,False
Pushkin Russian Restaurant,"['International', 'Burgers', 'Sandwiches']",Good,53,3,10,False
"Sumo Sushi & Bento, Jebel Ali 1 (Festival Plaza)","['Healthy', 'Japanese', 'Asian']",Very good,56,7,10,False
Farareejo,"['Lebanese', 'Sandwiches', 'Fast', 'Food']",Very good,56,7,10,False
TGI Fridays - Ibn Batutta Mall,"['American', 'Burgers', 'Grills']",Very good,53,7,10,False
"Lokmet Gibran, Jumeirah Lakes Tower","['Lebanese', 'Sandwiches', 'Arabic']",Very good,49,3,10,False
Secret Street Food,"['Arabic', 'Shawarma', 'Doner']",Very good,50,5,10,False
Al Safeer Restaurant,"['Arabic', 'Lebanese', 'Sandwiches']",Good,57,7,10,False
PROJECT P,"['Italian', 'Pizza']",Very good,58,7,10,False
Seven Pizzas,"['Pizza', 'American']",Good,55,6,50,False
Zaroob Restaurant,"['Lebanese', 'Arabic', 'Shawarma', 'Doner']",Good,46,7,10,False
"The Pizza Company , Al Barsha 2","['Pizza', 'Italian']",OK,45,7,0,False
The Butcher Shop & Grill Retail,"['Specialty', 'Store', 'Butchery']",Very good,48,7,10,False
"Bombay Chowpatty, Ibn Batutta Mall","['Asian', 'Desserts', 'Indian']",Very good,50,7,10,False
"Krush Burger, Dubai Marina","['Burgers', 'Sandwiches']",Good,48,7,10,False
Flavor Land Multicuisine Restaurant,"['Indian', 'Arabic', 'Chinese']",Very good,46,7,10,False
Al Merkaaz,"['Arabic', 'Lebanese']",Good,51,5,10,False
Sultan Baba Express,"['Sandwiches', 'Turkish', 'Shawarma', 'Doner']",OK,52,7,10,False
"Barsalata Salads & Healthy Bites, Al Sufouh 2","['Healthy', 'Sandwiches', 'Salads']",Good,52,7,10,False
"Shake Shack, Al Sufouh 2","['American', 'Burgers']",Good,46,7,10,False
floresta flower,['Flowers'],OK,60,0,0,False
Joker Pizza,"['Pizza', 'Italian']",Good,55,7,10,False
Jory Flowers & Sweets,"['Flowers', 'Chocolate', 'Cakes', 'Desserts']",Good,60,5,0,False
Atlantic Fish and Chips,['Seafood'],Good,57,7,10,False
Merw Honey,"['Specialty', 'Store', 'Cakes', 'Desserts']",NA,53,7,10,False
"Poke Poke, Dubai Marina","['Healthy', 'Seafood']",Very good,45,7,10,False
Kimura-Ya,"['Japanese', 'Seafood']",Good,59,7,10,False
The Vietnamese Sandwich Co,['Sandwiches'],Very good,49,7,10,False
Boost,"['Desserts', 'Healthy', 'Vegetarian']",Amazing,49,5,10,False
Seven Seeds,"['Breakfast', 'Healthy', 'International']",NA,51,7,10,False
Kaake,"['Arabic', 'Lebanese']",Good,51,7,10,False
Un Dimanche à Paris,"['Breakfast', 'Sandwiches']",NA,49,9,10,False
"Cake Hut Sweets And Pastries, Al Barsha Mall,Al Barsha 1","['Specialty', 'Store', 'Cakes', 'Desserts', 'Bakery']",Very good,50,0,50,False
Yalla Momos,"['Asian', 'Chinese', 'Indian']",NA,68,5,10,False
"Sushi Counter Restaurant, Dubai Media City",['Japanese'],Very good,49,7,10,False
KARMA SHAWARMA,"['Fast', 'Food', 'Shawarma', 'Doner']",Good,52,0,10,False
"Le Pain Quotidien, Dubai Marina,","['Breakfast', 'Desserts', 'Sandwiches']",Very good,53,7,10,False
Fabulous Falafels,"['Arabic', 'Shawarma', 'Doner']",Good,51,5,10,False
"Subway, Springs","['Healthy', 'Sandwiches', 'Breakfast']",Good,48,7,10,False
Lila Cafe,"['Cafe', 'International', 'Arabic']",Very good,57,7,10,False
Gifto's Of London,"['Indian', 'Pakistani']",Very good,49,7,10,False
"Circle, Jumeirah Islands","['Breakfast', 'Healthy', 'Sandwiches']",Good,49,7,10,False
"Panda Express Restaurant, Dubai Marina",['Chinese'],Good,49,7,10,False
ART OF DUM,"['Indian', 'Grills']",Very good,55,5,10,False
Build Your Own Poke,"['Bowls', 'Healthy', 'Seafood']",Good,49,7,10,False
Yo Poke,"['Japanese', 'Asian', 'Healthy']",OK,48,7,10,False
Shogun Restaurant,"['Asian', 'Japanese', 'International']",Very good,53,7,10,False
Catch 22,"['Burgers', 'Seafood', 'International']",Very good,51,9,0,False
Zutto Suki Ramen Restaurant,"['Asian', 'Snacks', 'Japanese']",NA,52,7,10,False
Sougha Perfumes,"['Specialty', 'Store']",NA,52,7,10,False
Sumo Sushi and Bento (Jumeirah Lake Towers),"['Healthy', 'Japanese', 'Asian']",Very good,50,5,10,False
London Slide,"['Burgers', 'Grills']",Good,63,7,10,False
Hyderabad Fusion Restaurant,"['Indian', 'Grills', 'Healthy']",Very good,51,9,10,False
Cuisine De Malabar,"['Indian', 'Mandi']",NA,61,5,10,False
BLOOM Vegan Kitchen,"['Healthy', 'Vegetarian', 'International']",Very good,53,5,10,False
"Subway, Jebel Ali","['Healthy', 'Sandwiches', 'Breakfast']",Very good,45,7,10,False
Ovenstory Pizza,"['Pizza', 'Fast', 'Food', 'Italian']",Good,55,7,10,False
IL LAGO By Chef Andrea,"['Italian', 'American', 'Healthy']",Good,54,5,10,False
"Shakey`s Pizza Parlor, Al Barsha 1","['Pizza', 'American']",Very good,62,7,10,False
Famous Dave's,"['American', 'Burgers']",Good,59,7,10,False
Acai Art,"['Beverages', 'Healthy']",OK,48,7,10,False
Hawader El Bait,"['Arabic', 'Lebanese']",Very good,55,7,10,False
Mama Franky,"['American', 'Indian', 'Sandwiches']",OK,50,5,10,False
Top Salad,"['Healthy', 'Sandwiches', 'Salads']",Good,49,7,10,False
Healthy Dose,"['Healthy', 'Breakfast', 'Desserts']",NA,62,5,10,False
"Jollibee, Al Barsha 3 Hessa","['Fast', 'Food', 'Fried', 'Chicken', 'Burgers']",Good,50,9,10,False
"Broccoli Pizza & Pasta , Jumeirah Lakes Towers , JLT","['Desserts', 'Italian', 'Pizza', 'Pasta']",Good,49,0,10,False
China Bistro,"['Asian', 'Chinese', 'Japanese']",Good,52,5,10,False
Gandofly,"['Arabic', 'Seafood', 'Egyptian']",Good,50,3,35,False
Hen Lin,"['Seafood', 'Asian']",Very good,55,9,10,True
All Things Acai,"['Bowls', 'Desserts', 'Smoothies']",Very good,46,7,10,False
Mexico City Wrap,"['American', 'Healthy', 'Mexican']",Good,49,7,10,False
Glamour Rose,['Flowers'],OK,60,6,100,False
Tikka Talk,"['Asian', 'Chinese']",NA,53,7,10,True
Brisk,"['Healthy', 'International']",Very good,46,9,0,False
Wok Corner,"['Asian', 'Chinese', 'Japanese']",Good,55,7,10,False
Verdura,"['Grills', 'Lebanese', 'Arabic']",Very good,57,7,10,False
Rauchi Restaurant,"['Japanese', 'Thai', 'Chinese']",Good,53,7,10,False
Go! Chinese - Healthier. Better,['Chinese'],Good,49,7,10,False
Jamaica Blue,"['Cafe', 'Healthy']",NA,53,7,10,False
Chateau Shawarma,"['Arabic', 'Shawarma', 'Doner', 'Sandwiches']",OK,52,7,10,False
ALBOE,"['American', 'Burgers']",OK,59,7,10,False
Kava and Chai,['Cafe'],Good,48,7,10,False
"Charleys Philly Steaks, Ibn Battuta Mall","['Sandwiches', 'American', 'Breakfast']",Good,50,7,10,False
Breakfasting,"['Breakfast', 'Desserts', 'Healthy']",OK,54,5,10,False
Noodlii,"['Thai', 'Asian', 'Chinese']",Good,49,7,10,False
Bread & Olives Restaurant,"['Lebanese', 'Arabic', 'Breakfast']",Good,53,9,10,False
House of Pizza,"['Pizza', 'Italian']",Good,51,5,10,False
Seville's Restaurant & Bar,"['Grills', 'Seafood', 'International']",Amazing,55,9,10,False
Burger Bun,"['Burgers', 'Sandwiches', 'American']",OK,51,5,10,False
Bosporus,['Turkish'],Very good,50,7,10,False
Vigilante Mexican Food,"['Mexican', 'Bowls', 'Healthy']",Good,50,7,10,False
"Pinkberry, Al Sufouh 2","['Desserts', 'Frozen', 'Yogurt']",OK,47,7,10,False
"Wide Range, Discovery Gardens","['Indian', 'Arabic', 'Chinese']",Good,52,7,10,False
Ben's Famous Subs,['Sandwiches'],Good,52,7,10,False
Papillon cake,"['Specialty', 'Store', 'Cakes', 'Desserts']",Good,50,6,25,False
"Hatam Restaurant, Jumeirah","['Iranian', 'Arabic']",Good,60,7,0,False
"Burger 28, JLT","['American', 'Burgers']",Good,52,5,10,False
"Cupagahwa, The Beach, Jumirah Beach Residents","['Burgers', 'Cafe', 'Desserts']",OK,54,7,10,False
The Pasta Guyz,"['Italian', 'Pasta']",Good,49,7,10,False
1004 Gourmet,"['Grocery', 'Supermarket']",Very good,58,7,10,False
Melt And Roast,"['Chinese', 'Grills', 'Indian']",NA,54,7,10,False
"Burger King, Discovery Gardens","['American', 'Burgers', 'Sandwiches']",Good,49,7,10,False
Prax's,"['Chinese', 'Thai']",Good,49,7,10,False
